Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission,name_key,birth_year,Country,Gender_iad,Total Flights,total_flight_days,is_military,ug_discipline,pathway
Robert L. Curbeam Jr. ,1995.0,15.0,Retired,3/5/1962,"Baltimore, MD",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aerospace Engineering; Aeronautical & Astronautical Engineering,Captain,US Navy (Retired),3,902,7,45.0,"STS-85 (Discovery), STS-98 (Atlantis), STS-116 (Discovery)",,,robert l curbeam,1962,,,,,True,engineering,Military
Nancy J. Currie,1990.0,13.0,Management,12/29/1958,"Wilmington, DE",Female,Ohio State University; University of Southern California; University of Houston,Biological Science,Safety Engineering; Industrial Engineering,Colonel,US Army (Retired),4,999,0,0.0,"STS-57 (Endeavor), STS-70 (Discovery), STS-88 (Endeavor), STS-109 (Columbia)",,,nancy j currie,1958,United States,Woman,4.0,41.64791666666667,True,life_sciences,Military
N. Jan Davis,1987.0,12.0,Retired,11/1/1953,"Cocoa Beach, FL",Female,Georgia Institute of Technology; Auburn University; University of Alabama-Huntsville,Applied Biology; Mechanical Engineering,Mechanical Engineering,,,3,673,0,0.0,"STS-47 (Endeavor), STS-60 (Discovery), STS-85 (Discovery)",,,n jan davis,1953,,,,,False,engineering,Academic
Lawrence J. Delucas,,,Retired,7/11/1950,"Syracuse, NY",Male,University of Alabama at Birmingham,Chemistry; Physiological Optics,Chemistry; Biochemistry; Optometry,,,1,331,0,0.0,STS-50 (Columbia),,,lawrence j delucas,1950,United States,Man,1.0,13.8125,False,physical_sciences,Academic
Alvin B. Drew Jr. ,2000.0,18.0,Active,11/5/1962,"Washington, DC",Male,US Air Force Academy; Embry-Riddle Aeronautical University,Physics & Astronautical Engineering,Aerospace Science; Political Science,Colonel,US Air Force,2,613,2,13.0,"STS-118 (Endeavor), STS-133 (Discovery)",,,alvin b drew,1962,,,,,True,engineering,Military
Brian Duffy,1985.0,11.0,Retired,6/20/1953,"Boston, MA",Male,US Air Force Academy; University of Southern California,Mathematics,Systems Management,Colonel,US Air Force (Retired),4,977,0,0.0,"STS-45 (Atlantis), STS-57 (Endeavor), STS-72 (Endeavor), STS-92 (Discovery)",,,brian duffy,1953,United States,Man,4.0,40.734027777777776,True,math,Military
Charles M. Duke Jr. ,1966.0,5.0,Retired,10/3/1935,"Charlotte, NC",Male,US Naval Academy; MIT,Naval Sciences,Aeronautics,Brigadier General,US Air Force (Retired),1,265,3,20.0,Apollo 16,,,charles m duke,1935,,,,,True,other/unknown,Military
Bonnie J. Dunbar,1980.0,9.0,Retired,3/3/1949,"Sunnyside, WA",Female,University of Washington; University of Houston,Ceramic Engineering,Ceramic Engineering; Biomedical Engineering,,,5,1207,0,0.0,"STS 61-A (Challenger), STS-32 (Columbia), STS-50 (Columbia), STS-71 (Atlantis), STS-89 (Endeavor)",,,bonnie j dunbar,1949,United States,Woman,5.0,50.35138888888889,False,engineering,Academic
Samuel T. Durrance,,,Retired,9/17/1943,"Tallahassee, FL",Male,California State University; University of Colorado,Physics,Physics; Astrogeophysics,,,2,614,0,0.0,"STS-35 (Columbia), STS-67 (Endeavor)",,,samuel t durrance,1943,United States,Man,2.0,25.592361111111114,False,physical_sciences,Academic
James P. Dutton Jr. ,2004.0,19.0,Management,11/20/1968,"Eugene, OR",Male,US Air Force Academy; University of Washington,Astronautical Engineering,Aeronautics & Astronautics,Colonel,US Air Force,1,362,0,0.0,STS-131 (Discovery),,,james p dutton,1968,,,,,True,engineering,Military
Joe F. Edwards Jr. ,1995.0,15.0,Retired,2/3/1958,"Richmond, VA",Male,US Naval Academy; University of Tennessee-Knoxville,Aerospace Engineering,Aviation Systems,Commander,US Navy (Retired),1,211,0,0.0,STS-89 (Endeavor),,,joe f edwards,1958,,,,,True,engineering,Military
Donn F. Eisele,1963.0,3.0,Deceased,5/23/1930,"Columbus, OH",Male,US Naval Academy; US Air Force Institute of Technology,Astronautics,Astronautics,Colonel,US Air Force (Retired),1,260,0,0.0,Apollo 7,12/2/1987,,donn f eisele,1930,United States,Man,1.0,10.839583333333332,True,other/unknown,Military
Anthony W. England,1967.0,6.0,Retired,5/15/1942,"Indianapolis, IN",Male,MIT,Geology,Geology; Geophysics,,,1,190,0,0.0,STS 51-F (Challenger),,,anthony w england,1942,United States,Man,1.0,7.947916666666667,False,other/unknown,Academic
Joe H. Engle,1966.0,5.0,Retired,8/26/1932,"Dickinson, KS",Male,University of Kansas,Aeronautical Engineering,,Major General,US Air Force (Retired),2,224,0,0.0,"STS-2 (Columbia), STS 51-I (Discovery)",,,joe h engle,1932,United States,Man,2.0,9.354166666666666,True,engineering,Military
Jeanette J. Epps,2009.0,20.0,Active,11/3/1970,"Syracuse, NY",Female,LeMoyne College; University of Maryland,Physics,Aerospace Engineering,,,0,0,0,0.0,,,,jeanette j epps,1970,,,,,False,physical_sciences,Academic
Ronald E. Evans Jr. ,1966.0,5.0,Deceased,11/10/1933,"St. Francis, KS",Male,University of Kansas; US Naval Postgraduate School,Electrical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),1,301,1,1.0,Apollo 17,4/6/1990,,ronald e evans,1933,,,,,True,engineering,Military
John M. Fabian,1978.0,8.0,Retired,1/28/1939,"Goosecreek, TX",Male,Washington State University; US Air Force Institute of Technology; University of Washington,Mechanical Engineering,Aerospace Engineering; Aeronautics & Astronautics,Colonel,US Air Force (Retired),2,316,0,0.0,"STS-7 (Challenger), STS 51-G (Discovery)",,,john m fabian,1939,,,,,True,engineering,Military
Christopher J. Ferguson,1998.0,17.0,Retired,9/1/1961,"Philadelphia, PA",Male,Drexel University; US Naval Postgraduate School,Mechanical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,970,0,0.0,"STS-115 (Atlantis), STS-126 (Endeavor), STS-135 (Atlantis)",,,christopher j ferguson,1961,,,,,True,engineering,Military
Martin J. Fettman,,,Retired,12/31/1956,"Brooklyn, NY",Male,Cornell University; Colorado State University,Animal Nutrition,Physiology,,,1,336,0,0.0,STS-58 (Columbia),,,martin j fettman,1956,United States,Man,1.0,14.008333333333333,False,other/unknown,Academic
Andrew J. Feustel,2000.0,18.0,Active,8/25/1965,"Lancaster, PA",Male,Purdue University; Queen¡¯s University-Canada,Solid Earth Sciences,Geophysics; Seismology,,,2,687,6,42.0,"STS-125 (Atlantis), STS-134 (Endeavor)",,,andrew j feustel,1965,United States,Man,3.0,224.38541666666666,False,other/unknown,Academic
E. Michael Fincke,1996.0,16.0,Active,3/14/1967,"Pittsburgh, PA",Male,MIT; Stanford University; University of Houston-Clear Lake,"Aeronautics & Astronautics; Earth, Atmospheric & Planetary Sciences",Aeronautics & Astronautics; Physical Sciences,Colonel,US Air Force,3,9159,9,48.0,"ISS-09 (Soyuz), ISS-18 (Soyuz), STS-134 (Endeavor)",,,e michael fincke,1967,,,,,True,other/unknown,Military
Jack D. Fischer,2009.0,20.0,Active,1/23/1974,"Louisville, CO",Male,US Air Force Academy; MIT,Astronautical Engineering,Aeronautics & Astronautics,,,0,0,0,0.0,,,,jack d fischer,1974,United States,Man,1.0,135.75555555555556,False,engineering,Academic
Anna L. Fisher,1978.0,8.0,Management,8/24/1949,"New York, NY",Female,University of California-Los Angeles,Chemistry,Chemistry; Medicine,,,1,191,0,0.0,STS 51-A (Discovery),,,anna l fisher,1949,,,,,False,physical_sciences,Academic
William F. Fisher,1980.0,9.0,Retired,4/1/1946,"Dallas, TX",Male,Stanford University; University of Houston; University of Florida,,Engineering; Medicine,,,1,170,2,12.0,STS 51-I (Discovery),,,william f fisher,1946,,,,,False,other/unknown,Academic
C. Michael Foale,1987.0,12.0,Active,1/6/1957,"Louth, England",Male,Cambridge University,Physics,Laboratory Astrophysics,,,6,8970,4,22.0,"STS-45 (Atlantis), STS-56 (Discovery), STS-63 (Discovery), STS-84/86 (Atlantis), STS-103 (Discovery), ISS-08 (Soyuz)",,,c michael foale,1957,,,,,False,physical_sciences,Academic
Kevin A. Ford,2000.0,18.0,Active,7/7/1960,"Portland, IN",Male,University of Notre Dame; Troy State University; University of Florida; Air Force Institute of Technology,Aerospace Engineering,International Relations; Aerospace Engineering; Astronautical Engineering,Colonel,US Air Force (Retired),2,3781,0,0.0,"STS-128 (Discovery), ISS-33/34 (Soyuz)",,,kevin a ford,1960,United States,Man,2.0,157.55069444444445,True,engineering,Military
Michael J. Foreman,1998.0,17.0,Management,3/29/1957,"Columbus, OH",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,637,5,32.0,"STS-123 (Endeavor), STS-129 (Atlantis)",,,michael j foreman,1957,,,,,True,engineering,Military
Patrick G. Forrester,1996.0,16.0,Management,3/31/1957,"El Paso, TX",Male,US Military Academy; University of Virginia,Applied Science & Engineering,Mechanical & Aerospace Engineering,Colonel,US Army (Retired),3,950,4,25.0,"STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",,,patrick g forrester,1957,,,,,True,engineering,Military
Michael E. Fossum,1998.0,17.0,Active,12/19/1957,"Sioux Falls, SD",Male,Texas A&M University; Air Force Institute of Technology; University of Houston-Clear Lake,Mechanical Engineering,Systems Engineering; Physical Science (Space Science),,US Air Force Reserves (Retired),3,4651,7,48.0,"STS-121 (Discovery), STS-124 (Discovery), ISS-28/29 (Soyuz)",,,michael e fossum,1957,,,,,True,engineering,Military
Theodore C. Freeman,1963.0,3.0,Deceased,2/18/1930,"Haversford, PA",Male,US Naval Academy; University of Michigan,,Aeronautical Engineering,Captain,US Air Force,0,0,0,0.0,,10/31/1964,,theodore c freeman,1930,,,,,True,other/unknown,Military
Stephen N. Frick,1996.0,16.0,Management,9/30/1961,"Pittsburgh, PA",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,566,0,0.0,"STS-110 (Atlantis), STS-122 (Atlantis)",,,stephen n frick,1961,,,,,True,engineering,Military
C. Gordon Fullerton,1969.0,7.0,Retired,10/11/1936,"Rochester, NY",Male,California Institute of Technology,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),2,382,0,0.0,"STS-3 (Columbia), STS 51-F (Challenger)",,,c gordon fullerton,1936,,,,,True,engineering,Military
F. Andrew Gaffney,,,Retired,6/9/1946,"Carlsbad, NM",Male,University of California-Berkeley; University of New Mexico,Psychology,Medicine,,,1,218,0,0.0,STS-40 (Columbia),,,f andrew gaffney,1946,,,,,False,other/unknown,Academic
Ronald J. Garan Jr. ,2000.0,18.0,Management,10/20/1961,"Yonkers, NY",Male,State University of New York; Embry-Riddle Aeronautical University; University of Florida,Business Economics,Aeronautics; Aerospace Engineering,Colonel,US Air Force (Retired),2,4271,4,27.0,"STS-124 (Discovery), ISS-27/28 (Soyuz)",,,ronald j garan,1961,,,,,True,other/unknown,Military
Dale A. Gardner,1978.0,8.0,Retired,11/8/1948,"Fairmont, MN",Male,University of Illinois,Engineering Physics,,Captain,US Navy (Retired),2,336,2,12.0,"STS-8 (Challenger), STS 51-A (Discovery)",,,dale a gardner,1948,,,,,True,engineering,Military
Guy S. Gardner,1980.0,9.0,Retired,1/6/1948,"Alta Vista, VA",Male,US Air Force Academy; Purdue University,Engineering Sciences; Astronautics & Mathematics,Astronautics,Colonel,US Air Force (Retired),2,320,0,0.0,"STS-27 (Atlantis), STS-35 (Columbia)",,,guy s gardner,1948,,,,,True,engineering,Military
Jake Garn,,,Retired,10/12/1932,Richfield. UT,Male,University of Utah,Business Finance,,,,1,167,0,0.0,STS 51-D (Discovery),,,jake garn,1932,,,,,False,other/unknown,Academic
Owen K. Garriott,1965.0,4.0,Retired,11/22/1930,"Enid, OK",Male,University of Oklahoma; Stanford University,Electrical Engineering,Electrical Engineering,,,2,1674,3,14.0,"Skylab 3, STS-9 (Columbia)",,,owen k garriott,1930,,,,,False,engineering,Academic
Charles D. Gemar,1985.0,11.0,Retired,8/4/1955,"Yanktown, SD",Male,US Military Academy,Engineering,,Lieutenant Colonel,US Army,3,581,0,0.0,"STS-38 (Atlantis), STS-48 (Discovery), STS-62 (Columbia)",,,charles d gemar,1955,,,,,True,engineering,Military
Michael L. Gernhardt,1992.0,14.0,Management,5/4/1956,"Mansfield, OH",Male,Vanderbilt University; University of Pennsylvania,Physics,Bioengineering,,,4,1039,4,23.0,"STS-69 (Endeavor), STS-83 (Columbia), STS-94 (Columbia), STS-104 (Atlantis)",,,michael l gernhardt,1956,,,,,False,physical_sciences,Academic
Edward G. Gibson,1965.0,4.0,Retired,11/8/1936,"Buffalo, NY",Male,University of Rochester; California Institute of Technology,Engineering,Engineering,,,1,2017,3,15.0,Skylab 4,,,edward g gibson,1936,,,,,False,engineering,Academic
Robert L. Gibson,1978.0,8.0,Retired,10/30/1946,"Cooperstown, NY",Male,California Polytechnic Institute,Aeronautical Engineering,,Captain,US Navy (Retired),5,868,0,0.0,"STS 41-B (Challenger), STS 61-C (Columbia), STS-27 (Atlantis), STS-47 (Endeavor), STS-71 (Atlantis)",,,robert l gibson,1946,United States,Man,5.0,36.17916666666667,True,engineering,Military
Edward G. Givens Jr. ,1966.0,5.0,Deceased,1/5/1930,"Quanah, TX",Male,US Naval Academy,Naval Sciences,,Major,US Air Force,0,0,0,0.0,,6/6/1967,,edward g givens,1930,,,,,True,other/unknown,Military
John H. Glenn Jr. ,1959.0,1.0,Retired,7/18/1921,"Cambridge, OH",Male,Muskingum College,Engineering,,Colonel,US Marine Corps (Retired),2,218,0,0.0,"Mercury 6, STS-95 (Discovery)",,,john h glenn,1921,,,,,True,engineering,Military
Linda M. Godwin,1985.0,11.0,Retired,7/2/1952,"Cape Girardeau, MO",Female,Southeast Missouri State; University of Missouri,Mathematics & Physics,Physics,,,4,918,2,10.0,"STS-37 (Atlantis), STS-59 (Endeavor), STS-76 (Atlantis), STS-108 (Endeavor)",,,linda m godwin,1952,,,,,False,physical_sciences,Academic
Michael T. Good,2000.0,18.0,Management,10/13/1962,"Parma, OH",Male,University of Notre Dame,Aerospace Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),2,592,4,30.0,"STS-125 (Atlantis), STS-132 (Atlantis)",,,michael t good,1962,United States,Man,2.0,24.670833333333334,True,engineering,Military
Richard F. Gordon Jr. ,1963.0,3.0,Retired,10/5/1929,"Seattle, WA",Male,University of Washington,Chemistry,,Captain,US Navy (Retired),2,315,1,0.5,"Gemini 11, Apollo 12",,,richard f gordon,1929,,,,,True,physical_sciences,Military
Dominic L. Gorie,1995.0,15.0,Retired,5/2/1957,"Lake Charles, LA",Male,US Naval Academy; University of Tennessee,Ocean Engineering,Aviation Systems,Captain,US Navy (Retired),4,1167,0,0.0,"STS-91 (Discovery), STS-99 (Endeavor), STS-123 (Endeavor), STS-108 (Endeavor)",,,dominic l gorie,1957,,,,,True,engineering,Military
Ronald J. Grabe,1980.0,9.0,Retired,6/13/1945,"New York, NY",Male,US Air Force Academy,Engineering Science,,Colonel,US Air Force (Retired),4,627,0,0.0,"STS 51-J (Atlantis), STS-30 (Atlantis), STS-42 (Discovery), STS-57 (Endeavor)",,,ronald j grabe,1945,,,,,True,engineering,Military
Duane E. Graveline,1965.0,4.0,Retired,3/2/1931,"Newport, VT",Male,University of Vermont; Johns Hopkins University,,Public Health; Medicine,,,0,0,0,0.0,,,,duane e graveline,1931,,,,,False,other/unknown,Academic
Frederick D. Gregory,1978.0,8.0,Retired,1/7/1941,"Washington, DC",Male,US Air Force Academy; George Washington University,,Information Systems,Colonel,US Air Force (Retired),3,455,0,0.0,"STS 51-B (Challenger), STS-33 (Discovery), STS-44 (Atlantis)",,,frederick d gregory,1941,,,,,True,other/unknown,Military
William G. Gregory,1990.0,13.0,Retired,5/14/1957,"Lockport, NY",Male,US Air Force Academy; Columbia University; Troy State University,Engineering Science,Engineering Mechanics; Business Management,Lieutenant Colonel,US Air Force,1,399,0,0.0,STS-67 (Endeavor),,,william g gregory,1957,,,,,True,engineering,Military
S. David Griggs,1978.0,8.0,Deceased,9/7/1939,"Portland, OR",Male,US Naval Academy; George Washington University,,Business Administration,,,1,167,1,3.0,STS 51-D (Discovery),6/17/1989,,s david griggs,1939,,,,,False,other/unknown,Academic
Virgil I. Grissom,1959.0,1.0,Deceased,4/3/1926,"Mitchell, IN",Male,Purdue University,Mechanical Engineering,,Lieutenant Colonel,US Air Force,2,5,0,0.0,"Mercury 4, Gemini 3, Apollo 1",1/27/1967,Apollo 1,virgil i grissom,1926,,,,,True,engineering,Military
John M. Grunsfeld,1992.0,14.0,Management,10/10/1958,"Chicago, IL",Male,MIT; University of Chicago,Physics,Physics,,,5,1407,8,58.0,"STS-67 (Endeavor), STS-81 (Atlantis), STS-103 (Discovery), STS-125 (Atlantis), STS-109 (Columbia)",,,john m grunsfeld,1958,,,,,False,physical_sciences,Academic
Sidney M. Gutierrez,1984.0,10.0,Retired,6/27/1951,"Albuquerque, NM",Male,US Air Force Academy; Webster College,Aeronautical Engineering,Business Management,Colonel,US Air Force (Retired),2,488,0,0.0,"STS-40 (Columbia), STS-59 (Endeavor)",,,sidney m gutierrez,1951,,,,,True,engineering,Military
Fred W. Haise Jr. ,1966.0,5.0,Retired,11/14/1933,"Biloxi, MS",Male,University of Oklahoma,Aeronautical Engineering,,,,1,142,0,0.0,Apollo 13 ,,,fred w haise,1933,,,,,False,engineering,Academic
James D. Halsell Jr. ,1990.0,13.0,Retired,9/29/1956,"Monroe, LA",Male,US Air Force Academy; Troy State University; US Air Force Institute of Technology,Engineering,Business Management; Space Operations,Colonel,US Air Force (Retired),5,1258,0,0.0,"STS-65 (Columbia), STS-74 (Atlantis), STS-83 (Columbia), STS-94 (Columbia), STS-101 (Atlantis)",,,james d halsell,1956,,,,,True,engineering,Military
Kenneth T. Ham,1998.0,17.0,Retired,12/12/1964,"Plainfield, NJ",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy,2,612,0,0.0,"STS-124 (Discovery), STS-132 (Atlantis)",,,kenneth t ham,1964,,,,,True,engineering,Military
L. Blaine Hammond Jr. ,1984.0,10.0,Retired,1/16/1952,"Savannah, GA",Male,US Air Force Academy; Georgia Institute of Technology,Engineering Science,Engineering Science,Colonel,US Air Force (Retired),2,462,0,0.0,"STS-39 (Discovery), STS-64 (Discovery)",,,l blaine hammond,1952,,,,,True,engineering,Military
Gregory J. Harbaugh,1987.0,12.0,Retired,4/15/1956,"Cleveland, OH",Male,Purdue University; University of Houston-Clear Lake,Aeronautical & Astronautical Engineering,Physical Science,,,4,817,3,18.0,"STS-39 (Discovery), STS-54 (Endeavor), STS-71 (Atlantis), STS-82 (Discovery)",,,gregory j harbaugh,1956,,,,,False,engineering,Academic
Bernard A. Harris Jr. ,1990.0,13.0,Retired,6/26/1956,"Temple, TX",Male,University of Houston; Texas Tech University,Biology,Medicine,,,2,438,1,5.0,"STS-55 (Columbia), STS-63 (Discovery)",,,bernard a harris,1956,United States,Man,2.0,18.255555555555556,False,life_sciences,Academic
Terry J. Hart,1978.0,8.0,Retired,10/27/1946,"Pittsburgh, PA",Male,Lehigh University; MIT; Rutgers University,Mechanical Engineering,Mechanical Engineering; Electrical Engineering,,,1,167,0,0.0,STS 41-C (Challenger),,,terry j hart,1946,,,,,False,engineering,Academic
Henry W. Hartsfield Jr. ,1969.0,7.0,Retired,11/21/1933,"Birmingham, AL",Male,Auburn University; University of Tennessee,Physics,Engineering Science,Colonel,US Air Force (Retired),3,482,0,0.0,"STS-4 (Columbia), STS 41-D (Discovery), STS 61-A (Challenger)",,,henry w hartsfield,1933,,,,,True,physical_sciences,Military
Frederick H. Hauck,1978.0,8.0,Retired,4/11/1941,"Long Beach, CA",Male,Tufts University; MIT,Physics,Nuclear Engineering,Captain,US Navy (Retired),3,435,0,0.0,"STS-7 (Challenger), STS 51-A (Discovery), STS-26 (Discovery)",,,frederick h hauck,1941,,,,,True,physical_sciences,Military
Steven A. Hawley,1978.0,8.0,Retired,12/12/1951,"Ottawa, KS",Male,University of Kansas; University of California,Physics & Astronomy,Astronomy & Astrophysics,,,5,770,0,0.0,"STS 41-D (Discovery), STS 61-C (Columbia), STS-31 (Discovery), STS-82 (Discovery), STS-93 (Columbia)",,,steven a hawley,1951,,,,,False,physical_sciences,Academic
Susan J. Helms,1990.0,13.0,Retired,2/26/1958,"Charlotte, NC",Female,US Air Force Academy; Stanford University,Aeronautical Engineering,Aeronautics & Astronautics,Lieutenant General,US Air Force,5,5063,1,9.0,"STS-54 (Endeavor), STS-64 (Discovery), STS-78 (Columbia), STS-101 (Atlantis), STS-102/105 (Discovery)",,,susan j helms,1958,,,,,True,engineering,Military
Karl G. Henize,1967.0,6.0,Deceased,10/17/1926,"Cincinnati, OH",Male,University of Virginia; University of Michigan,Mathematics,Astronomy,,,1,190,0,0.0,STS 51-F (Challenger),10/5/1993,,karl g henize,1926,,,,,False,math,Academic
Thomas J. Hennen,,,Retired,8/17/1952,"Albany, GA",Male,,,,Chief Warrant Officer,US Army (Retired),1,166,0,0.0,STS-44 (Atlantis),,,thomas j hennen,1952,,,,,True,other/unknown,Military
Terence T. Henricks,1985.0,11.0,Retired,7/5/1952,"Bryan, OH",Male,US Air Force Academy; Golden Gate University,Civil Engineering,Public Administration,Colonel,US Air Force (Retired),4,1026,0,0.0,"STS-44 (Atlantis), STS-55 (Columbia), STS-70 (Discovery), STS-78 (Columbia)",,,terence t henricks,1952,,,,,True,engineering,Military
Jose M. Hernandez,2004.0,19.0,Retired,8/7/1962,"French Camp, CA",Male,University of the Pacific; University of California-Santa Barbara,Electrical Engineering,Electrical & Computer Engineering,,,1,332,0,0.0,STS-128 (Discovery),,,jose m hernandez,1962,,,,,False,engineering,Academic
John B. Herrington,1996.0,16.0,Retired,9/14/1958,"Wetumka, OK",Male,University of Colorado; US Naval Postgraduate School,Applied Mathematics,Aeronautical Engineering,Commander,US Navy (Retired),1,330,3,20.0,STS-113 (Endeavor),,,john b herrington,1958,,,,,True,math,Military
Richard J. Hieb,1985.0,11.0,Retired,9/21/1955,"Jamestown, ND",Male,Northwest Nazarene College; University of Colorado,Mathematics & Physics,Aerospace Engineering,,,3,766,3,18.0,"STS-39 (Discovery), STS-49 (Endeavor), STS-65 (Columbia)",,,richard j hieb,1955,,,,,False,physical_sciences,Academic
Joan E. Higginbotham,1996.0,16.0,Retired,8/3/1964,"Chicago, IL",Female,Southern Illinois University-Carbondale; Florida Institute of Technology,Electrical Engineering,Business Management; Space Systems,,,1,308,0,0.0,STS-116 (Discovery),,,joan e higginbotham,1964,,,,,False,engineering,Academic
David C. Hilmers,1980.0,9.0,Retired,1/28/1950,"Clinton, IA",Male,Cornell University; US Naval Postgraduate School,Mathematics,Electrical Engineering,Colonel,US Marine Corps (Retired),4,494,0,0.0,"ST 51-J (Atlantis), STS-26 (Discovery), STS-36 (Atlantis), STS-42 (Discovery)",,,david c hilmers,1950,,,,,True,math,Military
Kathryn P. Hire,1995.0,15.0,Management,8/26/1959,"Mobile, AL",Female,US Naval Academy; Florida State Institute of Technology,Engineering Management,Space Technology,Captain,US Naval Reserves,2,711,0,0.0,"STS-90 (Columbia), STS-130 (Endeavor)",,,kathryn p hire,1959,,,,,True,engineering,Military
Charles O. Hobaugh,1996.0,16.0,Retired,11/5/1961,"Bar Harbor, ME",Male,US Naval Academy,Aerospace Engineering,,Colonel,US Marine Corps (Retired),3,873,0,0.0,"STS-104 (Atlantis), STS-118 (Endeavor), ST-129 (Atlantis)",,,charles o hobaugh,1961,,,,,True,engineering,Military
Jeffrey A. Hoffman,1978.0,8.0,Retired,11/2/1944,"Brooklyn, NY",Male,Amherst College; Rice University; Harvard University,Astronomy,Materials Science; Astrophysics,,,5,1211,4,25.0,"STS 51-D (Discovery), STS-35 (Columbia), STS-46 (Atlantis), STS-61 (Endeavor), STS-75 (Columbia)",,,jeffrey a hoffman,1944,,,,,False,other/unknown,Academic
Donald L. Holmquest,1967.0,6.0,Retired,4/7/1939,"Dallas, TX",Male,Southern Methodist University; Baylor University; University of Houston,Electrical Engineering,Physiology; Medicine; Law,,,0,0,0,0.0,,,,donald l holmquest,1939,,,,,False,engineering,Academic
Michael S. Hopkins,2009.0,20.0,Active,12/28/1968,"Lebanon, MO",Male,University of Illinois; Stanford University,Aerospace Engineering,Aerospace Engineering,Colonel,US Air Force,1,3990,2,13.0,ISS-37/38 (Soyuz),,,michael s hopkins,1968,United States,Man,2.0,333.53749999999997,True,engineering,Military
Scott J. Horowitz,1992.0,14.0,Retired,3/24/1957,"Philadelphia, PA",Male,California State University-Northridge; Georgia Institute of Technology,Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),4,1137,0,0.0,"STS-75 (Columbia), STS-82 (Discovery), STS-101 (Atlantis), STS-105 (Discovery)",,,scott j horowitz,1957,,,,,True,engineering,Military
Millie Hughes-Fulford,,,Retired,12/21/1945,"Mineral Wells, TX",Female,Tarleton State University; Texas Woman¡¯s University,Chemistry & Biology,,,,1,218,0,0.0,STS-40 (Columbia),,,millie hughes-fulford,1945,United States,Woman,1.0,9.093055555555555,False,physical_sciences,Academic
Douglas G. Hurley,2000.0,18.0,Active,10/21/1966,"Endicott, NY",Male,Tulane University,Civil Engineering,,Colonel,US Marine Corps,2,683,0,0.0,"STS-127 (Endeavor), STS-135 (Atlantis)",,,douglas g hurley,1966,United States,Man,3.0,92.44305555555555,True,engineering,Military
Rick D. Husband,1995.0,15.0,Deceased,7/12/1957,"Amarillo, TX",Male,Texas Tech University; California State University,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force,2,617,0,0.0,"STS-96 (Discovery), STS-107 (Columbia)",2/1/2003,STS-107 (Columbia),rick d husband,1957,,,,,True,engineering,Military
James B. Irwin,1966.0,5.0,Deceased,3/17/1930,"Pittsburgh, PA",Male,US Naval Academy; University of Michigan,Naval Sciences,Aeronautical Engineering,Colonel,US Air Force (Retired),1,295,3,20.0,Apollo 15,8/8/1991,,james b irwin,1930,,,,,True,other/unknown,Military
Marsha S. Ivins,1984.0,10.0,Retired,4/15/1951,"Baltimore, MD",Female,University of Colorado,Aerospace Engineering,,,,5,1341,0,0.0,"STS-32 (Columbia), STS-46 (Atlantis), STS-62 (Columbia), STS-81 (Atlantis), STS-98 (Atlantis)",,,marsha s ivins,1951,,,,,False,engineering,Academic
Gregory B. Jarvis,,,Deceased,8/24/1944,"Detroit, MI",Male,State University of New York at Buffalo; Northeastern University,Electrical Engineering,Electrical Engineering,,,1,0,0,0.0,STS 51-L (Challenger),1/28/1986,STS 51-L (Challenger),gregory b jarvis,1944,United States,Man,1.0,0.0006944444444444445,False,engineering,Academic
Mae C. Jemison,1987.0,12.0,Retired,10/17/1956,"Decatur, AL",Female,Stanford University; Cornell University,Chemical Engineering,Medicine,,,1,190,0,0.0,STS-47 (Endeavor),,,mae c jemison,1956,,,,,False,engineering,Academic
Tamara E. Jernigan,1985.0,11.0,Retired,5/7/1959,"Chattanooga, TN",Female,Stanford University; University of California-Berkeley; Rice University,Physics,Engineering Science; Astronomy,,,5,1489,1,8.0,"STS-40 (Columbia), STS-52 (Columbia), STS-67 (Endeavor), STS-80 (Columbia), STS-98 (Discovery)",,,tamara e jernigan,1959,United States,Woman,5.0,62.81180555555556,False,physical_sciences,Academic
